car_make,car_model,car_year,price,location,salesperson,purchase_date,customer_name,customer_email,sales_channel
Mercedes-Benz,SL-Class,1974,32473.26,Miami,Ashely Langhorne,12/8/2007,Margalit Domingues,mdomingues0@chron.com,Auction
Land Rover,Discovery,1960,29645.97,Houston,Fredelia Fideler,11/4/2000,Dawn Bartolomeotti,dbartolomeotti1@wiley.com,Auction
Oldsmobile,Regency,1916,73560.17,Los Angeles,Chrisse Shrubsall,3/12/2003,Sophronia Halfhead,shalfhead2@163.com,Online
Chevrolet,2500,1981,89547.89,Houston,Thurston Heigl,3/12/2021,Sterling Southall,ssouthall3@oakley.com,Dealership
Acura,RL,1965,89481.17,Los Angeles,Waldon Metterick,11/20/2018,Brant Coan,bcoan4@livejournal.com,Dealership
Oldsmobile,Ciera,1994,57527.18,Houston,Steffane Silliman,2/23/2011,Em Petr,epetr5@behance.net,Dealership
Dodge,Ram 1500,1961,24290.36,Los Angeles,Janessa Warlock,10/20/2002,Clyve Ely,cely6@narod.ru,Online
Toyota,Camry,1966,59988.63,Houston,Geordie Dredge,11/17/2020,Lola Cancellieri,lcancellieri7@adobe.com,Dealership
Volkswagen,Cabriolet,1929,25000.45,Los Angeles,Aileen Van Oord,5/27/2002,Morgana Crisford,mcrisford8@ftc.gov,Auction
Lincoln,Mark VII,2007,16009.03,Los Angeles,Marylee Abrahmson,2/10/2008,Fernande Haddleton,fhaddleton9@skype.com,Auction
Toyota,Sequoia,1997,3393.07,Los Angeles,Fleur Danielou,7/7/2008,Aeriell Peck,apecka@list-manage.com,Dealership
Scion,xB,1928,51337.74,Miami,Terencio Sutter,2/26/2015,Darryl Cantero,dcanterob@home.pl,Dealership
Isuzu,i-370,1925,33418.7,Miami,Philbert Byforth,9/6/2000,Almeria Batisse,abatissec@nationalgeographic.com,Auction
Maybach,Landaulet,1992,62448.38,Miami,Madel Huster,11/29/2008,Laina Padgett,lpadgettd@bizjournals.com,Online
Mercedes-Benz,S-Class,1925,74058.92,Miami,Rosalyn Close,2/23/2014,Saul O'Brogan,sobrogane@craigslist.org,Online
Lincoln,LS,1962,54054.57,New York,Dierdre Sager,10/11/2020,Celina Spurdens,cspurdensf@opensource.org,Dealership
Dodge,Shadow,1911,44033.1,Los Angeles,Lyell Pentecost,11/12/2014,Diahann Bickle,dbickleg@mac.com,Online
Ford,E150,1965,87493.41,Los Angeles,Nancy Bezants,3/16/2005,Ricky Olyet,rolyeth@yale.edu,Auction
Jeep,Wrangler,1983,24275.57,Houston,Allene Screeton,12/31/2018,Suellen Shilliday,sshillidayi@github.com,Online
Mercedes-Benz,CL-Class,1933,9379.23,Chicago,Lavina Stoneley,2/11/2018,Denni Camous,dcamousj@i2i.jp,Online
BMW,M6,1937,95801.38,Houston,Myrna Brekonridge,9/30/2019,Bald Errichelli,berrichellik@google.com,Online
Mazda,Tribute,2001,63838.77,Houston,Nicolis Lawles,10/22/2010,Lacy Sanford,lsanfordl@technorati.com,Dealership
GMC,Yukon XL 2500,2022,70008.06,Chicago,Adlai Newport,12/22/2018,Marta Blissett,mblissettm@ow.ly,Dealership
Chrysler,300,1970,51734.24,Los Angeles,Doy Witty,11/5/2021,Pate Pringuer,ppringuern@senate.gov,Online
Hyundai,Elantra,1972,42291.47,New York,Aurora Heiton,6/7/2021,Gale Huncoot,ghuncooto@issuu.com,Dealership
Mitsubishi,Mirage,1961,62554.99,Houston,Conni Arnao,5/19/2009,Kerrie Bamborough,kbamboroughp@fema.gov,Dealership
Dodge,Durango,1962,42760.41,New York,Kamilah Sanchiz,2/28/2021,Dionis Priter,dpriterq@4shared.com,Auction
Mercury,Cougar,1906,24191.12,New York,Derwin McKain,3/12/2007,Jermain Welbeck,jwelbeckr@slideshare.net,Dealership
Jaguar,X-Type,1951,52457.49,Houston,Shauna Gynne,12/4/2005,Richmound Siege,rsieges@cbsnews.com,Online
Volkswagen,rio,1959,24532.8,Houston,Sal Innman,8/22/2014,Etty Kwietak,ekwietakt@google.de,Auction
Maserati,228,1901,28542.12,Houston,Rodger Van Geffen,2/27/2017,Arney Tomsa,atomsau@indiegogo.com,Auction
BMW,7 Series,1971,82269.5,Houston,Heather Dallicott,12/15/2017,Mose Thurber,mthurberv@rediff.com,Online
GMC,1500 Club Coupe,2004,10204.02,New York,Clary Points,12/12/2008,Leyla Cohalan,lcohalanw@moonfruit.com,Auction
Chevrolet,Silverado,1964,40971.22,New York,Abran Rosterne,4/2/2006,Dehlia Gamage,dgamagex@theguardian.com,Dealership
Toyota,Venza,1991,55461.01,Houston,Mehetabel MacParlan,12/26/2019,Rocky Boneham,rbonehamy@clickbank.net,Online
Lincoln,Continental,1966,69095.96,Los Angeles,Gerri Swyne,8/17/2017,Domini Michelotti,dmichelottiz@phpbb.com,Auction
